Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 109, with 271,488 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.8264
iter 55: loss 7.4887, time 1758.20ms, lr 0.002999776088921058, norm:  0.2750, tok/sec: 298196.41966735787
iter 56: loss 7.4806, time 1758.36ms, lr 0.002999767872891733, norm:  0.3720, tok/sec: 298167.95499243675
iter 57: loss 7.1120, time 1758.32ms, lr 0.0029997595088412533, norm:  0.3507, tok/sec: 298175.4345297603
iter 58: loss 7.4902, time 1757.90ms, lr 0.002999750996770444, norm:  0.3739, tok/sec: 298247.0549332986
iter 59: loss 7.4054, time 1758.64ms, lr 0.002999742336680146, norm:  0.3345, tok/sec: 298120.7414942266
iter 60: loss 7.3903, time 1758.69ms, lr 0.0029997335285712134, norm:  0.4449, tok/sec: 298112.4160070711
iter 61: loss 7.6425, time 1758.14ms, lr 0.002999724572444516, norm:  0.4557, tok/sec: 298205.9630190546
iter 62: loss 7.4463, time 1758.62ms, lr 0.0029997154683009367, norm:  0.2369, tok/sec: 298124.5406574397
iter 63: loss 7.4888, time 1758.40ms, lr 0.0029997062161413756, norm:  0.3974, tok/sec: 298162.49718850246
iter 64: loss 7.4342, time 1759.06ms, lr 0.0029996968159667443, norm:  0.4891, tok/sec: 298049.5049099037
iter 65: loss 7.3996, time 1759.08ms, lr 0.0029996872677779717, norm:  0.2517, tok/sec: 298046.71755662287
iter 66: loss 7.4836, time 1758.66ms, lr 0.0029996775715759993, norm:  0.4655, tok/sec: 298118.19530073623
iter 67: loss 7.6491, time 1758.27ms, lr 0.002999667727361785, norm:  0.5170, tok/sec: 298183.60180448665
iter 68: loss 7.3766, time 1758.79ms, lr 0.0029996577351363, norm:  0.3410, tok/sec: 298095.3623348089
iter 69: loss 7.3766, time 1759.00ms, lr 0.0029996475949005297, norm:  0.2704, tok/sec: 298060.57404476934
iter 70: loss 7.5576, time 1758.55ms, lr 0.0029996373066554765, norm:  0.3731, tok/sec: 298136.1408294008
iter 71: loss 7.3477, time 1759.20ms, lr 0.002999626870402154, norm:  0.3578, tok/sec: 298027.1671525764
iter 72: loss 7.2531, time 1759.31ms, lr 0.0029996162861415936, norm:  0.4274, tok/sec: 298008.10393935716
iter 73: loss 7.4043, time 1758.77ms, lr 0.002999605553874839, norm:  0.4599, tok/sec: 298098.47387829603
iter 74: loss 7.3787, time 1757.62ms, lr 0.0029995946736029503, norm:  0.2514, tok/sec: 298294.8749374998
iter 75: loss 7.2445, time 1758.99ms, lr 0.0029995836453270007, norm:  0.2687, tok/sec: 298062.3920469825
iter 76: loss 7.3278, time 1759.65ms, lr 0.0029995724690480793, norm:  0.2922, tok/sec: 297950.40411917836
iter 77: loss 7.3272, time 1758.60ms, lr 0.002999561144767288, norm:  0.3720, tok/sec: 298128.501590273
iter 78: loss 7.3172, time 1759.02ms, lr 0.0029995496724857457, norm:  0.7571, tok/sec: 298056.69571416895
iter 79: loss 7.2354, time 1759.46ms, lr 0.002999538052204584, norm:  0.2747, tok/sec: 297981.85562437173
iter 80: loss 7.2219, time 1759.08ms, lr 0.00299952628392495, norm:  0.4674, tok/sec: 298046.67716058175
iter 81: loss 7.5023, time 1758.20ms, lr 0.002999514367648005, norm:  0.5418, tok/sec: 298195.89399200614
iter 82: loss 7.5302, time 1759.11ms, lr 0.0029995023033749253, norm:  0.3539, tok/sec: 298041.1834010029
iter 83: loss 7.3965, time 1759.07ms, lr 0.0029994900911069016, norm:  0.3135, tok/sec: 298048.2526142987
iter 84: loss 7.2923, time 1758.93ms, lr 0.0029994777308451387, norm:  0.5272, tok/sec: 298071.2803770596
iter 85: loss 7.3636, time 1759.36ms, lr 0.002999465222590857, norm:  0.3126, tok/sec: 297998.532864256
iter 86: loss 7.1688, time 1757.79ms, lr 0.002999452566345291, norm:  0.3597, tok/sec: 298265.82508650835
iter 87: loss 7.1212, time 1759.30ms, lr 0.00299943976210969, norm:  0.2890, tok/sec: 298008.8308815737
iter 88: loss 7.2335, time 1759.37ms, lr 0.002999426809885317, norm:  0.4849, tok/sec: 297997.60405847034
iter 89: loss 7.1743, time 1758.84ms, lr 0.0029994137096734513, norm:  0.3565, tok/sec: 298088.1696647323
iter 90: loss 7.1949, time 1759.72ms, lr 0.0029994004614753845, norm:  0.3404, tok/sec: 297937.8092294169
iter 91: loss 7.4134, time 1759.15ms, lr 0.0029993870652924256, norm:  0.5023, tok/sec: 298034.51844988996
iter 92: loss 7.1123, time 1758.82ms, lr 0.0029993735211258964, norm:  0.4013, tok/sec: 298090.10922697745
iter 93: loss 7.1294, time 1759.16ms, lr 0.002999359828977133, norm:  0.3859, tok/sec: 298032.41804222285
iter 94: loss 7.3386, time 1759.82ms, lr 0.002999345988847487, norm:  0.3819, tok/sec: 297921.5827681486
iter 95: loss 7.1103, time 1759.44ms, lr 0.002999332000738325, norm:  0.2429, tok/sec: 297985.2070747634
iter 96: loss 7.2110, time 1759.39ms, lr 0.0029993178646510266, norm:  0.4045, tok/sec: 297994.2523292158
iter 97: loss 7.1244, time 1760.02ms, lr 0.002999303580586988, norm:  0.3939, tok/sec: 297888.2070234767
iter 98: loss 7.2796, time 1759.07ms, lr 0.0029992891485476183, norm:  0.4228, tok/sec: 298047.8890465781
iter 99: loss 6.6868, time 1760.14ms, lr 0.0029992745685343413, norm:  0.3900, tok/sec: 297867.3459368222
iter 100: loss 7.3678, time 1760.32ms, lr 0.0029992598405485975, norm:  0.3664, tok/sec: 297836.2816491044
iter 101: loss 7.1835, time 1759.58ms, lr 0.0029992449645918394, norm:  0.2639, tok/sec: 297961.50626715226
iter 102: loss 7.1615, time 1759.07ms, lr 0.002999229940665536, norm:  0.4539, tok/sec: 298048.7373726394
iter 103: loss 6.8749, time 1759.55ms, lr 0.0029992147687711687, norm:  0.3380, tok/sec: 297967.1182131051
iter 104: loss 7.1973, time 1759.12ms, lr 0.0029991994489102364, norm:  0.2888, tok/sec: 298039.6484161441
iter 105: loss 7.1698, time 1758.83ms, lr 0.00299918398108425, norm:  0.4606, tok/sec: 298088.93740510294
iter 106: loss 7.2773, time 1759.54ms, lr 0.0029991683652947376, norm:  0.2101, tok/sec: 297969.4195758012
iter 107: loss 7.1496, time 1759.57ms, lr 0.0029991526015432386, norm:  0.3924, tok/sec: 297963.2019407646
iter 108: loss 7.1028, time 1759.18ms, lr 0.00299913668983131, norm:  0.2267, tok/sec: 298030.15609784395
iter 109: loss 7.3447, time 1759.48ms, lr 0.002999120630160522, norm:  0.3209, tok/sec: 297978.5850045049
iter 110: loss 7.1987, time 1759.79ms, lr 0.0029991044225324594, norm:  0.5321, tok/sec: 297926.0630323052
iter 111: loss 7.2738, time 1760.25ms, lr 0.0029990880669487218, norm:  0.4571, tok/sec: 297848.78727144003
iter 112: loss 7.2908, time 1759.59ms, lr 0.002999071563410924, norm:  0.3836, tok/sec: 297960.6584375835
iter 113: loss 7.2383, time 1759.49ms, lr 0.002999054911920694, norm:  0.4640, tok/sec: 297977.13141872064
iter 114: loss 7.1953, time 1759.62ms, lr 0.0029990381124796756, norm:  0.4301, tok/sec: 297955.5715614915
iter 115: loss 7.2472, time 1760.56ms, lr 0.0029990211650895277, norm:  0.4503, tok/sec: 297795.78677613806
iter 116: loss 7.2227, time 1758.91ms, lr 0.0029990040697519212, norm:  0.2814, tok/sec: 298074.7146465643
iter 117: loss 7.1176, time 1759.60ms, lr 0.002998986826468545, norm:  0.3522, tok/sec: 297958.68018735293
iter 118: loss 7.2287, time 1759.19ms, lr 0.0029989694352411, norm:  0.2006, tok/sec: 298028.1365336618
iter 119: loss 7.0102, time 1759.68ms, lr 0.0029989518960713024, norm:  0.3696, tok/sec: 297944.3083825115
iter 120: loss 7.2706, time 1760.05ms, lr 0.0029989342089608837, norm:  0.2483, tok/sec: 297881.99277721695
iter 121: loss 7.0022, time 1758.72ms, lr 0.00299891637391159, norm:  0.2962, tok/sec: 298106.9198237785
iter 122: loss 7.1656, time 1759.48ms, lr 0.002998898390925181, norm:  0.4803, tok/sec: 297979.5136917361
