Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 98, with 158,208 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.9773
iter 101: loss 7.1513, time 1533.35ms, lr 0.0006107784431137724, norm:  0.6257, tok/sec: 341924.14581705554
iter 102: loss 7.1048, time 1533.41ms, lr 0.0006167664670658682, norm:  0.6969, tok/sec: 341910.90812567016
iter 103: loss 6.8730, time 1533.10ms, lr 0.000622754491017964, norm:  0.6218, tok/sec: 341979.87231828953
iter 104: loss 7.1725, time 1532.77ms, lr 0.0006287425149700599, norm:  0.8758, tok/sec: 342052.80149823456
iter 105: loss 7.1107, time 1532.66ms, lr 0.0006347305389221557, norm:  0.5347, tok/sec: 342078.075975375
iter 106: loss 7.2264, time 1532.37ms, lr 0.0006407185628742515, norm:  0.5219, tok/sec: 342141.5180610381
iter 107: loss 7.1009, time 1532.66ms, lr 0.0006467065868263473, norm:  0.3862, tok/sec: 342076.58600786224
iter 108: loss 7.0381, time 1533.13ms, lr 0.0006526946107784431, norm:  0.3442, tok/sec: 341971.89508307463
iter 109: loss 7.3047, time 1533.13ms, lr 0.0006586826347305389, norm:  0.3594, tok/sec: 341972.9055122837
iter 110: loss 7.1218, time 1533.36ms, lr 0.0006646706586826348, norm:  0.3631, tok/sec: 341920.74326035316
iter 111: loss 7.1953, time 1533.81ms, lr 0.0006706586826347306, norm:  0.4038, tok/sec: 341820.6639601098
iter 112: loss 7.2406, time 1532.91ms, lr 0.0006766467065868264, norm:  0.4935, tok/sec: 342020.8279852511
iter 113: loss 7.1511, time 1533.76ms, lr 0.0006826347305389222, norm:  0.4015, tok/sec: 341832.7787822799
iter 114: loss 7.1089, time 1533.96ms, lr 0.000688622754491018, norm:  0.3448, tok/sec: 341787.3526264736
iter 115: loss 7.1633, time 1533.59ms, lr 0.0006946107784431138, norm:  0.4401, tok/sec: 341869.1815502041
iter 116: loss 7.1628, time 1533.05ms, lr 0.0007005988023952096, norm:  0.5682, tok/sec: 341990.5623969879
